OrderID,Date,Region,Category,Product,Quantity,Amount
1071,2023-01-01,West,Home & Garden,Throw Blanket,2,49.44
1078,2023-01-02,South,Electronics,Laptop Stand,2,59.39
1189,2023-01-05,South,Apparel,Wool Sweater,1,54.28
1028,2023-01-06,North,Apparel,Denim Jacket,1,88.68
1188,2023-01-07,South,Apparel,Running Shoes,3,220.35
1169,2023-01-09,East,Home & Garden,LED Desk Lamp,1,33.81
1061,2023-01-10,West,Sporting Goods,Dumbbell Set,2,174.13
1044,2023-01-11,East,Electronics,Laptop Stand,5,149.46
1057,2023-01-11,North,Home & Garden,LED Desk Lamp,2,67.72
1158,2023-01-12,East,Home & Garden,Ceramic Planter,3,58.1
1192,2023-01-12,North,Home & Garden,Garden Shears,1,17.99
1033,2023-01-14,East,Electronics,Wireless Earbuds,4,158.37
1118,2023-01-14,North,Home & Garden,LED Desk Lamp,4,139.07
1120,2023-01-14,North,Home & Garden,Garden Shears,1,17.45
1041,2023-01-15,South,Electronics,Laptop Stand,5,142.88
1029,2023-01-16,East,Apparel,Running Shoes,1,71.51
1008,2023-01-18,North,Electronics,4K Monitor,3,744.54
1063,2023-01-18,West,Home & Garden,Throw Blanket,5,122.95
1103,2023-01-18,West,Home & Garden,Ceramic Planter,4,76.38
1121,2023-01-19,East,Electronics,4K Monitor,2,477.11
1024,2023-01-21,South,Electronics,Laptop Stand,1,28.68
1084,2023-01-21,West,Apparel,Denim Jacket,2,177.23
1125,2023-01-21,North,Apparel,Denim Jacket,2,172.39
1160,2023-01-21,South,Sporting Goods,Dumbbell Set,4,346.14
1194,2023-01-21,South,Home & Garden,LED Desk Lamp,1,33.72
1143,2023-01-24,North,Apparel,Running Shoes,4,294.68
1032,2023-01-25,West,Sporting Goods,Camping Tent,4,506.1
1198,2023-01-25,East,Home & Garden,Garden Shears,3,52.28
1200,2023-01-25,North,Home & Garden,LED Desk Lamp,5,171.33
1009,2023-01-26,East,Sporting Goods,Camping Tent,4,498.19
1002,2023-01-27,North,Electronics,Laptop Stand,1,28.63
1050,2023-01-27,North,Apparel,Wool Sweater,1,54.28
1034,2023-01-28,West,Apparel,Denim Jacket,2,172.24
1055,2023-01-29,North,Electronics,4K Monitor,5,1239.61
1080,2023-02-01,East,Sporting Goods,Dumbbell Set,4,359.06
1152,2023-02-02,North,Home & Garden,Ceramic Planter,4,78.06
1048,2023-02-03,East,Home & Garden,Ceramic Planter,2,38.55
1141,2023-02-03,North,Home & Garden,Garden Shears,4,68.47
1179,2023-02-04,West,Sporting Goods,Water Bottle,3,44.04
1017,2023-02-05,North,Sporting Goods,Yoga Mat,1,22.02
1215,2023-02-05,North,Home & Garden,Throw Blanket,3,71.25
1159,2023-02-07,South,Apparel,Rain Jacket,5,311.46
1187,2023-02-07,North,Apparel,Wool Sweater,2,108.12
1005,2023-02-09,North,Apparel,Wool Sweater,1,53.29
1051,2023-02-09,South,Home & Garden,Throw Blanket,5,123.19
1144,2023-02-09,East,Sporting Goods,Camping Tent,5,630.95
1180,2023-02-09,West,Sporting Goods,Yoga Mat,4,91.68
1199,2023-02-09,North,Sporting Goods,Yoga Mat,1,21.95
1210,2023-02-09,East,Apparel,Running Shoes,1,72.9
1018,2023-02-10,West,Sporting Goods,Yoga Mat,4,90.1
1022,2023-02-11,North,Electronics,Bluetooth Speaker,4,229.3
1134,2023-02-14,South,Sporting Goods,Water Bottle,3,44.96
1059,2023-02-15,East,Sporting Goods,Yoga Mat,2,45.48
1035,2023-02-16,North,Home & Garden,Garden Shears,2,34.98
1070,2023-02-19,East,Sporting Goods,Water Bottle,2,29.09
1115,2023-02-19,South,Home & Garden,Ceramic Planter,5,95.91
1075,2023-02-20,South,Apparel,Running Shoes,1,74.93
1164,2023-02-20,South,Sporting Goods,Water Bottle,1,14.53
1045,2023-02-22,West,Home & Garden,LED Desk Lamp,3,100.41
1052,2023-02-22,North,Home & Garden,Garden Shears,3,51.52
1085,2023-02-24,East,Electronics,Laptop Stand,4,117.22
1112,2023-02-26,East,Sporting Goods,Dumbbell Set,3,262.86
1173,2023-02-27,West,Sporting Goods,Camping Tent,1,123.58
1062,2023-02-28,West,Apparel,Running Shoes,2,144.94
1133,2023-02-28,North,Electronics,Bluetooth Speaker,5,296.4
1197,2023-02-28,West,Sporting Goods,Camping Tent,4,504.78
1003,2023-03-01,West,Electronics,4K Monitor,5,1201.23
1186,2023-03-01,North,Home & Garden,LED Desk Lamp,5,168.63
1030,2023-03-02,South,Home & Garden,Garden Shears,2,35.48
1037,2023-03-02,West,Apparel,Rain Jacket,4,249.74
1043,2023-03-02,South,Sporting Goods,Yoga Mat,5,112.53
