Date,Description,Amount
2023-01-03,PAYROLL DIRECT DEP ACME CORP,2450.00
2023-01-04,STARBUCKS STORE #04521,-5.75
2023-01-05,WHOLE FOODS MARKET,-88.20
2023-01-06,SHELL OIL 12345,-42.10
2023-01-08,NETFLIX.COM,-15.49
2023-01-10,AMAZON MKTPLACE PMTS,-63.99
2023-01-12,RENT PAYMENT JAN,-1500.00
2023-01-15,COMCAST CABLE,-79.99
2023-01-18,UBER TRIP 8842,-14.20
2023-01-20,CVS PHARMACY #331,-22.15
2023-01-22,MYSTERY VENDOR XYZ123,-33.40
2023-02-03,PAYROLL DIRECT DEP ACME CORP,2450.00
2023-02-05,TRADER JOE'S,-71.10
2023-02-06,CHEVRON GAS STATION,-38.55
2023-02-09,SPOTIFY PREMIUM,-10.99
2023-02-14,CHIPOTLE ONLINE,-13.40
2023-02-18,RENT PAYMENT FEB,-1500.00
2023-02-20,ATM WITHDRAWAL FEE,-3.00
2023-02-25,OVERDRAFT FEE,-35.00
